product_id,product_name,category,subcategory,brand,selling_price,cost_price,stock_quantity,rating,launch_date
P00028,FitCore Classic Gym Equipment,Sports & Fitness,Gym Equipment,FitCore,2180,1570,463,2.9,2024-06-12
P00029,ComfortCraft Smart Cookware,Home & Kitchen,Cookware,ComfortCraft,9320,5270,109,4.0,2024-03-07
P00030,LearnPress Elite Self Help,Books,Self Help,LearnPress,1100,580,413,3.8,2023-08-30
P00031,ZenByte Pro Smartphones,Electronics,Smartphones,ZenByte,46740,30460,239,4.5,2023-12-01
P00032,ZenByte Classic Cameras,Electronics,Cameras,ZenByte,8240,5430,173,4.4,2024-06-06
P00033,PixelPro Smart Laptops,Electronics,Laptops,PixelPro,70590,45390,216,3.4,2023-06-08
P00034,GlowPure Elite Haircare,Beauty & Personal Care,Haircare,GlowPure,4660,3570,333,5.0,2023-05-25
P00035,PixelPro Advanced Smartphones,Electronics,Smartphones,PixelPro,53570,33750,109,4.5,2024-08-13
P00036,TechSphere Premium Laptops,Electronics,Laptops,TechSphere,51470,36400,401,4.3,2023-05-31
P00037,ComfortCraft Elite Storage,Home & Kitchen,Storage,ComfortCraft,5270,3870,111,4.7,2024-07-11
P00038,FitCore Essential Sportswear,Sports & Fitness,Sportswear,FitCore,2120,1660,244,4.0,2024-06-18
P00039,FitCore Everyday Gym Equipment,Sports & Fitness,Gym Equipment,FitCore,2880,1450,35,4.1,2024-02-15
P00040,InsightBooks Classic Non-Fiction,Books,Non-Fiction,InsightBooks,2430,1730,304,2.9,2023-03-09
P00041,ZenByte Modern Smartwatches,Electronics,Smartwatches,ZenByte,74380,45890,478,3.6,2024-12-14
P00042,ReadMore Smart Academic,Books,Academic,ReadMore,1190,790,343,4.2,2025-04-13
P00043,GlowPure Premium Makeup,Beauty & Personal Care,Makeup,GlowPure,3900,2270,288,4.9,2023-07-13
P00044,PixelPro Everyday Tablets,Electronics,Tablets,PixelPro,35060,26420,178,4.5,2024-08-11
P00045,StreetLine Advanced Jeans,Fashion,Jeans,StreetLine,3890,1980,360,3.6,2023-05-03
P00046,KnowledgeHouse Everyday Self Help,Books,Self Help,KnowledgeHouse,1330,630,53,4.7,2025-05-07
P00047,UrbanThread Classic Jeans,Fashion,Jeans,UrbanThread,6380,3870,139,3.6,2024-03-31
P00048,StreetLine Smart Footwear,Fashion,Footwear,StreetLine,5930,3430,135,4.0,2024-07-15
P00049,HomeNest Pro Cookware,Home & Kitchen,Cookware,HomeNest,9270,7270,170,4.3,2025-06-15
P00050,PageTurner Elite Technology,Books,Technology,PageTurner,2360,1310,287,2.7,2023-10-26
P00051,PixelPro Everyday Cameras,Electronics,Cameras,PixelPro,5020,2550,298,4.0,2023-04-19
P00052,GlowPure Ultra Haircare,Beauty & Personal Care,Haircare,GlowPure,3140,1520,407,4.8,2023-03-13
P00053,PixelPro Smart Headphones,Electronics,Headphones,PixelPro,13770,9310,286,4.5,2023-12-21
P00054,DermaCare Smart Personal Care,Beauty & Personal Care,Personal Care,DermaCare,1480,680,415,3.4,2024-03-25
P00055,DermaCare Essential Skincare,Beauty & Personal Care,Skincare,DermaCare,3520,1830,442,4.3,2023-05-04
P00056,StyleCraft Classic Jeans,Fashion,Jeans,StyleCraft,3430,1700,439,3.9,2023-12-28
P00057,ModeWear Essential Jackets,Fashion,Jackets,ModeWear,2800,1440,446,3.5,2023-06-06
P00058,PixelPro Pro Cameras,Electronics,Cameras,PixelPro,43320,30430,35,4.7,2024-08-13
P00059,ComfortCraft Pro Kitchen Appliances,Home & Kitchen,Kitchen Appliances,ComfortCraft,22470,10260,274,3.7,2024-03-07
P00060,Voltix Advanced Smartphones,Electronics,Smartphones,Voltix,76400,35380,135,2.9,2024-12-05
P00061,RunX Essential Outdoor Sports,Sports & Fitness,Outdoor Sports,RunX,14550,8550,261,3.2,2024-07-20
P00062,RunX Premium Gym Equipment,Sports & Fitness,Gym Equipment,RunX,14540,11620,473,4.4,2023-09-10
P00063,PageTurner Essential Academic,Books,Academic,PageTurner,1870,1450,340,4.6,2024-07-29
P00064,FitCore Ultra Yoga,Sports & Fitness,Yoga,FitCore,16870,11670,209,3.7,2024-07-05
P00065,LearnPress Advanced Technology,Books,Technology,LearnPress,880,570,481,3.8,2023-11-22
P00066,LearnPress Modern Non-Fiction,Books,Non-Fiction,LearnPress,1330,870,426,2.5,2024-02-19
P00067,UrbanHome Modern Furniture,Home & Kitchen,Furniture,UrbanHome,20080,11460,238,3.9,2023-04-21
P00068,LearnPress Elite Non-Fiction,Books,Non-Fiction,LearnPress,800,460,145,4.0,2023-09-23
P00069,ReadMore Classic Self Help,Books,Self Help,ReadMore,1060,600,115,4.4,2025-04-09
P00070,UrbanThread Smart T-Shirts,Fashion,T-Shirts,UrbanThread,4190,2460,393,3.1,2024-01-16
P00071,DermaCare Pro Personal Care,Beauty & Personal Care,Personal Care,DermaCare,4200,2770,75,4.2,2023-09-11
P00072,NovaTech Pro Accessories,Electronics,Accessories,NovaTech,28980,21400,490,4.2,2024-12-19
P00073,BloomCare Smart Skincare,Beauty & Personal Care,Skincare,BloomCare,1140,730,410,3.9,2024-08-12
P00074,FlexFit Essential Sportswear,Sports & Fitness,Sportswear,FlexFit,14750,8640,368,4.5,2024-02-24
P00075,PureSkin Advanced Personal Care,Beauty & Personal Care,Personal Care,PureSkin,4040,2600,384,3.5,2025-05-15
P00076,LearnPress Elite Technology,Books,Technology,LearnPress,1080,760,39,4.2,2023-12-08
P00077,StreetLine Essential Jeans,Fashion,Jeans,StreetLine,7620,4660,70,3.3,2024-05-18
P00078,DermaCare Classic Haircare,Beauty & Personal Care,Haircare,DermaCare,3550,2330,277,3.9,2023-03-28
P00079,TechSphere Pro Laptops,Electronics,Laptops,TechSphere,76860,36040,10,4.5,2023-12-22
P00080,SportEdge Premium Outdoor Sports,Sports & Fitness,Outdoor Sports,SportEdge,11780,8190,199,4.5,2023-02-19
P00081,BloomCare Modern Personal Care,Beauty & Personal Care,Personal Care,BloomCare,1960,1230,139,3.9,2024-05-05
P00082,Voltix Pro Smartwatches,Electronics,Smartwatches,Voltix,21930,11090,470,3.2,2024-09-15
P00083,FitCore Pro Sportswear,Sports & Fitness,Sportswear,FitCore,19640,11830,13,3.1,2024-02-20
P00084,PureSkin Advanced Haircare,Beauty & Personal Care,Haircare,PureSkin,560,400,167,3.4,2023-04-13
P00085,UrbanHome Ultra Kitchen Appliances,Home & Kitchen,Kitchen Appliances,UrbanHome,24840,11600,215,3.5,2023-11-24
P00086,NovaTech Everyday Smartwatches,Electronics,Smartwatches,NovaTech,7130,3210,179,3.5,2025-05-31
P00087,ZenByte Premium Accessories,Electronics,Accessories,ZenByte,4370,2040,102,4.4,2024-05-03
P00088,ActivePro Advanced Gym Equipment,Sports & Fitness,Gym Equipment,ActivePro,15770,8920,288,4.7,2023-11-27
P00089,AuraBeauty Advanced Makeup,Beauty & Personal Care,Makeup,AuraBeauty,5110,3000,382,4.2,2025-02-14
P00090,UrbanThread Modern Jeans,Fashion,Jeans,UrbanThread,510,240,294,4.2,2024-09-06
P00091,DermaCare Classic Fragrances,Beauty & Personal Care,Fragrances,DermaCare,5000,2790,321,3.5,2024-12-13
P00092,LearnPress Classic Technology,Books,Technology,LearnPress,2420,1270,177,4.0,2023-08-10
P00093,KnowledgeHouse Everyday Technology,Books,Technology,KnowledgeHouse,1500,1190,215,4.4,2024-02-16
P00094,Voltix Elite Smartwatches,Electronics,Smartwatches,Voltix,20350,13180,375,4.0,2023-08-05
P00095,LearnPress Everyday Technology,Books,Technology,LearnPress,2080,1330,422,4.3,2024-01-19
P00096,KitchenPro Classic Kitchen Appliances,Home & Kitchen,Kitchen Appliances,KitchenPro,9340,4590,124,4.3,2025-05-22
P00097,SportEdge Essential Sportswear,Sports & Fitness,Sportswear,SportEdge,1190,750,166,3.4,2025-04-17
P00098,StreetLine Essential Jeans,Fashion,Jeans,StreetLine,2590,1270,359,4.5,2024-02-13
P00099,FlexFit Smart Running,Sports & Fitness,Running,FlexFit,3060,2190,208,3.9,2025-06-27
P00100,ModeWear Elite Footwear,Fashion,Footwear,ModeWear,3970,2070,47,3.6,2024-10-27
P00101,AuraBeauty Modern Haircare,Beauty & Personal Care,Haircare,AuraBeauty,3170,2010,271,3.7,2025-06-25
P00102,ReadMore Essential Self Help,Books,Self Help,ReadMore,1960,1380,128,3.5,2024-09-12
P00103,ReadMore Classic Non-Fiction,Books,Non-Fiction,ReadMore,2290,1070,353,3.4,2024-07-16
P00104,ModeWear Ultra Footwear,Fashion,Footwear,ModeWear,6240,3700,389,4.0,2023-12-07
P00105,KitchenPro Ultra Cookware,Home & Kitchen,Cookware,KitchenPro,7650,5150,154,2.7,2023-08-03
P00106,RunX Premium Gym Equipment,Sports & Fitness,Gym Equipment,RunX,2040,1240,357,4.7,2025-03-02
P00107,KnowledgeHouse Premium Business,Books,Business,KnowledgeHouse,2450,1720,245,3.9,2025-02-05
P00108,StreetLine Elite T-Shirts,Fashion,T-Shirts,StreetLine,1230,630,205,3.9,2023-05-22
P00109,ActivePro Advanced Running,Sports & Fitness,Running,ActivePro,18690,8740,43,4.9,2023-03-15
P00110,TechSphere Modern Tablets,Electronics,Tablets,TechSphere,78440,41040,115,4.3,2023-06-20
P00111,PureSkin Ultra Fragrances,Beauty & Personal Care,Fragrances,PureSkin,4970,2250,156,4.1,2023-08-26
P00112,ZenByte Classic Tablets,Electronics,Tablets,ZenByte,27540,16000,135,4.2,2023-09-06
P00113,StyleCraft Everyday Shirts,Fashion,Shirts,StyleCraft,910,680,209,3.9,2024-10-17
P00114,RunX Premium Outdoor Sports,Sports & Fitness,Outdoor Sports,RunX,7840,5480,144,4.2,2023-04-09
P00115,DermaCare Ultra Skincare,Beauty & Personal Care,Skincare,DermaCare,5270,3130,411,4.6,2024-08-20
P00116,BloomCare Smart Skincare,Beauty & Personal Care,Skincare,BloomCare,5460,4080,136,4.4,2024-08-15
P00117,PixelPro Ultra Smartphones,Electronics,Smartphones,PixelPro,78290,42110,291,4.6,2024-12-28
P00118,PureSkin Ultra Skincare,Beauty & Personal Care,Skincare,PureSkin,5880,3880,139,4.0,2025-04-01
P00119,GlowPure Modern Fragrances,Beauty & Personal Care,Fragrances,GlowPure,480,230,376,3.7,2024-01-26
P00120,HomeNest Smart Cookware,Home & Kitchen,Cookware,HomeNest,22300,11320,294,4.1,2025-05-09
P00121,ZenByte Ultra Accessories,Electronics,Accessories,ZenByte,75830,59600,387,3.4,2023-01-18
P00122,RunX Advanced Outdoor Sports,Sports & Fitness,Outdoor Sports,RunX,19430,12580,416,3.9,2023-06-27
P00123,Voltix Pro Smartwatches,Electronics,Smartwatches,Voltix,43990,30250,53,4.5,2025-04-14
P00124,UrbanHome Ultra Storage,Home & Kitchen,Storage,UrbanHome,21910,10280,416,4.3,2024-02-19
P00125,NovaTech Essential Smartwatches,Electronics,Smartwatches,NovaTech,33380,22930,496,4.3,2024-06-12
P00126,FlexFit Elite Running,Sports & Fitness,Running,FlexFit,13790,10770,265,3.7,2023-06-23
P00127,GlowPure Smart Fragrances,Beauty & Personal Care,Fragrances,GlowPure,2340,1420,474,3.6,2024-03-31
P00128,KnowledgeHouse Premium Business,Books,Business,KnowledgeHouse,1080,600,159,4.0,2024-11-06
P00129,FitCore Smart Outdoor Sports,Sports & Fitness,Outdoor Sports,FitCore,3970,2530,60,4.2,2023-09-03
P00130,ClassicFit Ultra Trousers,Fashion,Trousers,ClassicFit,4470,2470,212,4.4,2024-12-05
P00131,PureSkin Everyday Haircare,Beauty & Personal Care,Haircare,PureSkin,1330,890,471,4.1,2023-01-06
P00132,KnowledgeHouse Ultra Non-Fiction,Books,Non-Fiction,KnowledgeHouse,1800,1230,403,4.0,2024-02-14
P00133,ZenByte Ultra Headphones,Electronics,Headphones,ZenByte,77230,46110,337,3.9,2025-02-16
P00134,TrendRoot Elite Trousers,Fashion,Trousers,TrendRoot,3130,2140,390,4.0,2023-10-05
P00135,DermaCare Smart Makeup,Beauty & Personal Care,Makeup,DermaCare,4830,3220,438,4.3,2025-02-27
P00136,ZenByte Elite Headphones,Electronics,Headphones,ZenByte,50270,33420,339,4.4,2023-06-15
P00137,InsightBooks Premium Non-Fiction,Books,Non-Fiction,InsightBooks,620,390,302,3.7,2024-04-08
P00138,TechSphere Classic Accessories,Electronics,Accessories,TechSphere,69240,33330,7,4.3,2025-02-27
P00139,GlowPure Elite Haircare,Beauty & Personal Care,Haircare,GlowPure,2320,1580,354,3.8,2023-11-05
P00140,Voltix Everyday Accessories,Electronics,Accessories,Voltix,50110,23350,320,4.2,2023-08-26
P00141,GlowPure Modern Personal Care,Beauty & Personal Care,Personal Care,GlowPure,710,510,350,4.6,2024-08-03
P00142,UrbanThread Pro Footwear,Fashion,Footwear,UrbanThread,1110,590,360,4.5,2023-09-08
P00143,AuraBeauty Premium Haircare,Beauty & Personal Care,Haircare,AuraBeauty,530,360,28,3.6,2025-04-17
P00144,KitchenPro Smart Storage,Home & Kitchen,Storage,KitchenPro,17600,11540,349,4.4,2025-04-03
P00145,UrbanThread Modern Shirts,Fashion,Shirts,UrbanThread,7430,4950,349,3.5,2023-01-01
P00146,ActivePro Elite Gym Equipment,Sports & Fitness,Gym Equipment,ActivePro,8570,5480,341,2.7,2024-05-18
P00147,BloomCare Advanced Makeup,Beauty & Personal Care,Makeup,BloomCare,760,490,176,4.8,2025-01-29
P00148,UrbanHome Ultra Lighting,Home & Kitchen,Lighting,UrbanHome,15170,7650,101,5.0,2023-01-31
P00149,DermaCare Pro Skincare,Beauty & Personal Care,Skincare,DermaCare,4840,3260,151,4.9,2023-06-23
P00150,UrbanHome Ultra Cookware,Home & Kitchen,Cookware,UrbanHome,460,280,351,4.3,2024-07-17
P00151,ZenByte Elite Tablets,Electronics,Tablets,ZenByte,37810,19980,117,4.1,2024-04-22
P00152,KitchenPro Modern Furniture,Home & Kitchen,Furniture,KitchenPro,8410,4730,369,4.3,2024-01-07
P00153,KnowledgeHouse Premium Non-Fiction,Books,Non-Fiction,KnowledgeHouse,1360,710,17,4.1,2023-03-31
P00154,KnowledgeHouse Ultra Non-Fiction,Books,Non-Fiction,KnowledgeHouse,1440,780,89,3.4,2024-01-10
P00155,FlexFit Everyday Yoga,Sports & Fitness,Yoga,FlexFit,9180,4680,131,4.6,2025-05-31
P00156,AuraBeauty Classic Makeup,Beauty & Personal Care,Makeup,AuraBeauty,3990,1850,72,4.3,2023-05-03
P00157,ClassicFit Pro Jackets,Fashion,Jackets,ClassicFit,7230,3750,187,3.1,2023-05-14
P00158,AuraBeauty Everyday Skincare,Beauty & Personal Care,Skincare,AuraBeauty,1160,740,344,4.3,2025-01-24
P00159,UrbanHome Essential Home Decor,Home & Kitchen,Home Decor,UrbanHome,3750,2110,241,2.8,2023-04-18
P00160,FlexFit Smart Yoga,Sports & Fitness,Yoga,FlexFit,2320,1340,237,4.6,2025-04-07
P00161,UrbanHome Classic Lighting,Home & Kitchen,Lighting,UrbanHome,4780,3750,19,3.6,2023-07-15
P00162,GlowPure Smart Skincare,Beauty & Personal Care,Skincare,GlowPure,4550,3420,232,3.8,2023-07-19
P00163,LearnPress Pro Academic,Books,Academic,LearnPress,730,360,335,3.1,2025-01-08
P00164,PureSkin Ultra Personal Care,Beauty & Personal Care,Personal Care,PureSkin,420,230,111,3.9,2025-05-04
P00165,StreetLine Classic Jackets,Fashion,Jackets,StreetLine,5920,3970,461,4.8,2023-09-14
P00166,UrbanHome Ultra Cookware,Home & Kitchen,Cookware,UrbanHome,6420,2960,485,4.4,2024-02-16
P00167,DermaCare Modern Skincare,Beauty & Personal Care,Skincare,DermaCare,320,250,170,3.5,2025-03-30
P00168,TrendRoot Smart Jackets,Fashion,Jackets,TrendRoot,860,440,283,3.4,2024-10-19
P00169,StyleCraft Essential Jackets,Fashion,Jackets,StyleCraft,6640,4970,461,4.1,2023-11-26
P00170,KitchenPro Everyday Furniture,Home & Kitchen,Furniture,KitchenPro,8410,4380,56,4.2,2025-04-17
P00171,NovaTech Essential Laptops,Electronics,Laptops,NovaTech,31490,18700,8,3.4,2023-11-09
P00172,ZenByte Pro Laptops,Electronics,Laptops,ZenByte,69260,52650,32,3.9,2024-04-29
P00173,ComfortCraft Classic Home Decor,Home & Kitchen,Home Decor,ComfortCraft,15010,9360,484,4.1,2024-09-11
P00174,LearnPress Ultra Academic,Books,Academic,LearnPress,1980,1140,15,3.0,2024-08-03
P00175,PureSkin Classic Fragrances,Beauty & Personal Care,Fragrances,PureSkin,4170,2300,227,3.1,2024-11-11
P00176,Auralink Advanced Headphones,Electronics,Headphones,Auralink,8910,6730,319,4.1,2025-03-15
P00177,SportEdge Modern Yoga,Sports & Fitness,Yoga,SportEdge,17640,12290,258,4.1,2024-12-02
P00178,ZenByte Classic Accessories,Electronics,Accessories,ZenByte,72560,39740,110,3.9,2023-07-07
P00179,StreetLine Elite Trousers,Fashion,Trousers,StreetLine,3570,2340,48,3.7,2024-01-21
P00180,CasaLiving Essential Lighting,Home & Kitchen,Lighting,CasaLiving,5200,2910,242,3.0,2023-12-16
P00181,TechSphere Classic Smartphones,Electronics,Smartphones,TechSphere,49140,25350,284,3.0,2023-04-10
P00182,RunX Classic Sportswear,Sports & Fitness,Sportswear,RunX,13710,9270,340,4.7,2024-06-09
P00183,AuraBeauty Modern Skincare,Beauty & Personal Care,Skincare,AuraBeauty,2710,1830,295,4.0,2023-02-02
P00184,ModeWear Smart Footwear,Fashion,Footwear,ModeWear,7240,5520,432,4.0,2025-05-10
P00185,Voltix Modern Accessories,Electronics,Accessories,Voltix,29940,15490,432,4.0,2023-12-24
P00186,FlexFit Premium Sportswear,Sports & Fitness,Sportswear,FlexFit,9010,7120,139,4.2,2023-12-09
P00187,CasaLiving Premium Kitchen Appliances,Home & Kitchen,Kitchen Appliances,CasaLiving,6140,3040,289,4.2,2023-01-12
P00188,ZenByte Premium Laptops,Electronics,Laptops,ZenByte,12330,6640,110,3.8,2023-04-21
P00189,DermaCare Essential Makeup,Beauty & Personal Care,Makeup,DermaCare,2700,1480,397,4.7,2023-04-02
P00190,FitCore Advanced Running,Sports & Fitness,Running,FitCore,5410,2900,25,4.2,2023-12-22
P00191,UrbanHome Elite Storage,Home & Kitchen,Storage,UrbanHome,20090,12960,139,3.5,2023-04-15
P00192,RunX Pro Running,Sports & Fitness,Running,RunX,3880,2720,347,4.1,2023-02-18
P00193,FitCore Smart Yoga,Sports & Fitness,Yoga,FitCore,13200,6010,28,2.7,2024-05-28
P00194,KitchenPro Ultra Furniture,Home & Kitchen,Furniture,KitchenPro,9680,6630,3,4.0,2023-04-21
P00195,DermaCare Pro Haircare,Beauty & Personal Care,Haircare,DermaCare,4510,2500,256,4.0,2025-03-09
P00196,KnowledgeHouse Pro Technology,Books,Technology,KnowledgeHouse,270,170,235,4.6,2024-01-05
P00197,UrbanHome Modern Home Decor,Home & Kitchen,Home Decor,UrbanHome,13450,7420,213,3.6,2024-03-08
P00198,AuraBeauty Advanced Skincare,Beauty & Personal Care,Skincare,AuraBeauty,5210,3330,353,4.6,2025-01-24
P00199,NovaTech Smart Smartwatches,Electronics,Smartwatches,NovaTech,57400,34090,268,3.1,2023-11-29
P00200,CasaLiving Smart Lighting,Home & Kitchen,Lighting,CasaLiving,11110,5860,39,4.0,2025-04-17
P00201,Auralink Smart Tablets,Electronics,Tablets,Auralink,46090,31210,490,4.4,2023-07-25
P00202,UrbanThread Advanced Shirts,Fashion,Shirts,UrbanThread,2400,1750,308,3.3,2025-06-06
P00203,PageTurner Elite Fiction,Books,Fiction,PageTurner,2000,1070,389,4.1,2025-06-14
P00204,LearnPress Essential Self Help,Books,Self Help,LearnPress,1390,1040,34,3.9,2025-01-04
P00205,ReadMore Modern Technology,Books,Technology,ReadMore,330,220,37,3.6,2024-01-13
P00206,GlowPure Essential Skincare,Beauty & Personal Care,Skincare,GlowPure,2500,1930,442,4.8,2025-01-04
P00207,Auralink Everyday Tablets,Electronics,Tablets,Auralink,50690,32340,283,4.7,2024-09-24
P00208,InsightBooks Modern Fiction,Books,Fiction,InsightBooks,870,600,243,4.0,2023-10-23
P00209,NovaTech Essential Smartwatches,Electronics,Smartwatches,NovaTech,11350,7080,88,2.9,2023-05-27
P00210,InsightBooks Everyday Business,Books,Business,InsightBooks,2240,1310,186,3.8,2023-05-31
P00211,UrbanHome Essential Storage,Home & Kitchen,Storage,UrbanHome,22450,13260,404,4.1,2024-10-31
P00212,CasaLiving Classic Cookware,Home & Kitchen,Cookware,CasaLiving,18480,10400,145,3.5,2024-07-04
P00213,PageTurner Essential Self Help,Books,Self Help,PageTurner,430,260,72,4.6,2024-10-20
P00214,UrbanHome Advanced Lighting,Home & Kitchen,Lighting,UrbanHome,19700,10870,43,3.6,2024-09-30
P00215,DermaCare Everyday Makeup,Beauty & Personal Care,Makeup,DermaCare,920,530,216,4.0,2024-12-26
P00216,Voltix Advanced Headphones,Electronics,Headphones,Voltix,28370,19300,392,3.9,2023-03-26
P00217,StyleCraft Classic Shirts,Fashion,Shirts,StyleCraft,2720,1370,51,4.0,2023-06-02
P00218,FitCore Essential Sportswear,Sports & Fitness,Sportswear,FitCore,4540,2680,78,3.3,2023-04-05
P00219,PageTurner Elite Self Help,Books,Self Help,PageTurner,280,180,346,4.3,2024-09-17
P00220,AuraBeauty Elite Personal Care,Beauty & Personal Care,Personal Care,AuraBeauty,2070,1270,158,4.7,2024-06-11
P00221,AuraBeauty Modern Haircare,Beauty & Personal Care,Haircare,AuraBeauty,3760,2400,144,4.3,2023-06-19
P00222,SportEdge Advanced Sportswear,Sports & Fitness,Sportswear,SportEdge,6790,3530,70,4.5,2024-01-22
P00223,TechSphere Essential Cameras,Electronics,Cameras,TechSphere,72980,34520,364,4.4,2023-10-25
P00224,NovaTech Advanced Headphones,Electronics,Headphones,NovaTech,36060,23180,262,3.3,2023-10-23
P00225,DermaCare Elite Skincare,Beauty & Personal Care,Skincare,DermaCare,3010,1430,212,3.0,2025-04-13
P00226,ActivePro Pro Yoga,Sports & Fitness,Yoga,ActivePro,2920,1950,14,3.7,2024-11-27
P00227,ZenByte Essential Accessories,Electronics,Accessories,ZenByte,19440,14620,146,4.6,2023-08-06
P00228,PureSkin Elite Haircare,Beauty & Personal Care,Haircare,PureSkin,5190,4140,40,2.8,2024-10-17
P00229,StyleCraft Everyday Jackets,Fashion,Jackets,StyleCraft,6260,3670,216,3.2,2023-10-13
P00230,CasaLiving Classic Furniture,Home & Kitchen,Furniture,CasaLiving,1760,1260,327,4.4,2024-03-08
P00231,GlowPure Elite Skincare,Beauty & Personal Care,Skincare,GlowPure,5040,3090,323,4.0,2024-12-19
P00232,StyleCraft Ultra Footwear,Fashion,Footwear,StyleCraft,3820,3050,180,3.5,2024-01-24
P00233,GlowPure Everyday Haircare,Beauty & Personal Care,Haircare,GlowPure,3100,2410,269,4.0,2023-04-28
P00234,FitCore Pro Sportswear,Sports & Fitness,Sportswear,FitCore,15660,12290,198,4.8,2024-11-19
P00235,HomeNest Essential Lighting,Home & Kitchen,Lighting,HomeNest,2410,1640,375,4.2,2025-05-04
P00236,Auralink Essential Accessories,Electronics,Accessories,Auralink,17790,13960,279,3.7,2023-06-02
P00237,InsightBooks Elite Non-Fiction,Books,Non-Fiction,InsightBooks,850,440,32,4.2,2023-03-20
P00238,AuraBeauty Smart Skincare,Beauty & Personal Care,Skincare,AuraBeauty,510,270,453,2.9,2025-04-19
P00239,UrbanHome Everyday Home Decor,Home & Kitchen,Home Decor,UrbanHome,15710,11180,385,4.2,2023-01-23
P00240,HomeNest Essential Kitchen Appliances,Home & Kitchen,Kitchen Appliances,HomeNest,9150,6920,188,3.9,2023-05-25
P00241,PureSkin Essential Fragrances,Beauty & Personal Care,Fragrances,PureSkin,1680,1050,254,3.7,2024-01-03
P00242,FitCore Pro Yoga,Sports & Fitness,Yoga,FitCore,2840,1840,421,3.4,2023-09-16
P00243,HomeNest Classic Kitchen Appliances,Home & Kitchen,Kitchen Appliances,HomeNest,10940,6220,156,3.9,2024-09-23
P00244,PageTurner Elite Business,Books,Business,PageTurner,1540,990,372,4.5,2025-01-24
P00245,UrbanHome Ultra Home Decor,Home & Kitchen,Home Decor,UrbanHome,21150,9670,485,3.0,2025-01-17
P00246,InsightBooks Essential Academic,Books,Academic,InsightBooks,2200,1140,347,3.3,2023-11-29
P00247,Auralink Elite Laptops,Electronics,Laptops,Auralink,4860,3670,120,4.3,2024-09-14
P00248,UrbanHome Modern Kitchen Appliances,Home & Kitchen,Kitchen Appliances,UrbanHome,1260,740,347,3.9,2023-04-02
P00249,UrbanHome Classic Kitchen Appliances,Home & Kitchen,Kitchen Appliances,UrbanHome,19010,14290,187,3.8,2023-09-13
